QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,Stefon Diggs (9358532),Stefon Diggs,9358532,6000,NO@MIN 07:10PM ET,MIN,
,,,,,,,,,,WR,Larry Fitzgerald (9358814),Larry Fitzgerald,9358814,5900,ARI@DET 01:00PM ET,ARI,
,,,,,,,,,,WR,DeAndre Hopkins (9359331),DeAndre Hopkins,9359331,5900,JAX@HOU 01:00PM ET,HOU,
,,,,,,,,,,TE,Jordan Reed (9359142),Jordan Reed,9359142,5900,PHI@WAS 01:00PM ET,WAS,
,,,,,,,,,,WR,Kelvin Benjamin (9359473),Kelvin Benjamin,9359473,5900,CAR@SF 04:25PM ET,CAR,
,,,,,,,,,,QB,Sam Bradford (9358515),Sam Bradford,9358515,5900,NO@MIN 07:10PM ET,MIN,
,,,,,,,,,,RB,Dalvin Cook (9358520),Dalvin Cook,9358520,5900,NO@MIN 07:10PM ET,MIN,
,,,,,,,,,,RB,Kareem Hunt (9358466),Kareem Hunt,9358466,5800,KC@NE 08:30PM ET,KC,
,,,,,,,,,,QB,Jimmy Garoppolo (9358570),Jimmy Garoppolo,9358570,5800,KC@NE 08:30PM ET,NE,
,,,,,,,,,,WR,Alshon Jeffery (9359122),Alshon Jeffery,9359122,5800,PHI@WAS 01:00PM ET,PHI,
,,,,,,,,,,RB,Ty Montgomery (9359415),Ty Montgomery,9359415,5800,SEA@GB 04:25PM ET,GB,
,,,,,,,,,,QB,Philip Rivers (9358678),Philip Rivers,9358678,5800,LAC@DEN 10:20PM ET,LAC,
,,,,,,,,,,WR,Tyreek Hill (9358478),Tyreek Hill,9358478,5700,KC@NE 08:30PM ET,KC,
,,,,,,,,,,QB,Andy Dalton (9358877),Andy Dalton,9358877,5700,BAL@CIN 01:00PM ET,CIN,
,,,,,,,,,,RB,Leonard Fournette (9360095),Leonard Fournette,9360095,5700,JAX@HOU 01:00PM ET,JAX,
,,,,,,,,,,TE,Travis Kelce (9358502),Travis Kelce,9358502,5600,KC@NE 08:30PM ET,KC,
,,,,,,,,,,WR,Jamison Crowder (9359423),Jamison Crowder,9359423,5600,PHI@WAS 01:00PM ET,WAS,
,,,,,,,,,,QB,Eli Manning (9358813),Eli Manning,9358813,5600,NYG@DAL 08:30PM ET,NYG,
,,,,,,,,,,QB,Joe Flacco (9358790),Joe Flacco,9358790,5500,BAL@CIN 01:00PM ET,BAL,
,,,,,,,,,,RB,Joe Mixon (9360085),Joe Mixon,9360085,5500,BAL@CIN 01:00PM ET,CIN,
,,,,,,,,,,RB,Derrick Henry (9359901),Derrick Henry,9359901,5500,OAK@TEN 01:00PM ET,TEN,
,,,,,,,,,,QB,Derek Anderson (9358768),Derek Anderson,9358768,5500,CAR@SF 04:25PM ET,CAR,
