playerId,player,team,position,age,exp,bye,points,lower,upper,sdPts,positionRank,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,salary
100019,Dolphins,MIA,DST,NA,NA,11,6.740342857,6.1,8.001162791,1.122688487,13,0.1012,10,1.901162791,NA,20.1,3.2,4.665552304,NA,NA
2555317,Tajae Sharpe,TEN,WR,23,1,8,6.734470426,2.860247593,7.15808,2.487240663,84,0.041904762,22,4.297832407,NA,NA,NA,8.743197217,NA,NA
2532790,Travis Benjamin,LAC,WR,28,5,8,6.707451406,5.286796402,7.601719471,1.123920898,85,0.038968713,23,2.314923069,NA,85.1,7.4,5.380197455,NA,NA
497238,Jermaine Gresham,ARI,TE,29,7,8,6.691666485,5,7.392093023,1.117985162,26,0.044563464,11,2.392093023,NA,30.1,4,4.718873749,NA,NA
100001,Falcons,ATL,DST,NA,NA,5,6.686721429,4.6,8.141860465,1.867032931,14,0.120039286,11,3.541860465,NA,9.3,3.1,6.279087969,NA,NA
2555214,Laquon Treadwell,MIN,WR,22,1,9,6.677679923,3.289026063,8.096367299,2.228397083,86,0.110347937,23,4.807341236,NA,72.6,9.3,7.262156814,NA,NA
2550597,Seth Roberts,OAK,WR,NA,NA,10,6.659285463,4.879026063,7.812885211,1.45074358,87,0.193879565,23,2.933859148,NA,90.5,9,6.230848955,NA,NA
238457,Zach Miller,CHI,TE,33,8,9,6.652618081,5.16,7.279108353,1.002397381,27,0.196394912,12,2.119108353,NA,22.8,5.3,5.485390268,NA,NA
2558123,Marlon Mack,IND,RB,NA,0,11,6.650974599,3.782901027,8.362293578,2.181368767,54,0.294543674,16,4.579392551,NA,62.4,5.6,5.246900293,NA,NA
2506122,Benjamin Watson,BAL,TE,37,13,10,6.64158796,5.11,7.411804281,1.099976902,28,0.416132099,12,2.301804281,NA,30.6,3.3,4.306134085,NA,NA
100021,Patriots,NE,DST,NA,NA,9,6.591564286,5.61,7.774418605,1.020228693,15,0.062339286,12,2.164418605,NA,5.3,2.3,3.278984971,NA,NA
100006,Bengals,CIN,DST,NA,NA,6,6.5418,5.4,6.655813953,0.697410987,16,0.068146429,13,1.255813953,NA,15.7,3.6,4.180599576,NA,NA
100032,Redskins,WAS,DST,NA,NA,5,6.51665,5.89,7.22876304,0.841506131,17,0.1021,14,1.33876304,NA,22.3,3.7,4.645064017,NA,NA
2530700,Dontrelle Inman,LAC,WR,28,4,8,6.475378509,4.274984848,7.852262997,1.77218463,88,0.082541097,23,3.577278148,NA,91.8,6.7,5.970968525,NA,NA
2507855,Victor Cruz,FA,WR,31,7,NA,6.455433287,2.385144429,6.8456,2.547042248,89,0.205709331,24,4.460455571,NA,88.3,7.8,7.225331829,NA,NA
100015,Jaguars,JAC,DST,NA,NA,8,6.430657143,5.5,7.862978723,1.305169343,18,0.034443182,14,2.362978723,NA,7.8,4.1,6.239283488,NA,NA
4383,Tim Hightower,FA,RB,31,9,NA,6.429298487,1.555020633,7.202018349,3.26308776,55,0.220184785,17,5.646997716,NA,66.4,7.2,6.629541935,NA,NA
100016,Chiefs,KC,DST,NA,NA,10,6.398442857,4.18,7.600611621,1.697756258,19,0.030543182,15,3.420611621,NA,16.6,5.6,9.069052406,NA,NA
100028,Chargers,LAR,DST,NA,NA,9,6.393985064,6.66,10.043975,1.932661173,20,0.134470779,16,3.383975,NA,13.6,3.1,6.432587987,NA,NA
100025,Eagles,PHI,DST,NA,NA,10,6.341814286,5.66,6.989534884,0.851282171,21,0.240092857,17,1.329534884,NA,17.6,2.7,3.393573061,NA,NA
2555348,Braxton Miller,HOU,WR,25,1,7,6.330241536,4.95,7.683318954,1.826458964,90,0.217275186,25,2.733318954,NA,89.7,8.5,6.546549555,NA,NA
2556885,Jalen Richard,OAK,RB,24,1,10,6.283563361,4.23,8.0405,2.246187456,56,0.193068797,18,3.8105,NA,66.5,6,5.592560704,NA,NA
2495826,Vernon Davis,WAS,TE,33,11,5,6.270858379,4.667979458,7.379159122,1.343917472,29,0.095988119,13,2.711179664,NA,30.6,3,4.129245657,NA,NA
2555364,Tyler Higbee,LAR,TE,24,1,9,6.180053343,3.609035038,8.026146789,2.191290698,30,0.190969379,13,4.417111751,NA,32.5,2.8,4.011320039,NA,NA
100030,Seahawks,SEA,DST,NA,NA,6,6.177214286,5.8,6.657186544,0.399460041,22,0.161178571,17,0.857186544,NA,10.7,5,5.267811494,NA,NA
2540215,Vance McDonald,PIT,TE,27,4,9,6.169687177,3.83,8.272045218,2.721252879,31,0.394909242,13,4.442045218,NA,28,9.4,7.902865444,NA,NA
2530660,Kamar Aiken,IND,WR,28,6,11,6.169206377,3.25,7.797,2.136890214,91,0.115972368,25,4.547,NA,88.7,6.8,6.443113936,NA,NA
2558138,Samaje Perine,WAS,RB,22,0,5,6.134664042,3.139827264,8.157910805,2.473738321,57,0.110577481,18,5.018083541,NA,54.1,6,5.592560704,NA,NA
2550272,Albert Wilson,KC,WR,25,3,10,6.056726323,4.31,6.888390179,1.291453749,92,0.069081472,25,2.578390179,NA,92.7,7.8,5.69731,NA,NA
2558010,John Ross,CIN,WR,NA,0,6,6.049741696,2.139309057,7.681311554,3.107874867,93,0.139584711,26,5.542002497,NA,NA,NA,10.25379183,NA,NA
2539265,Rex Burkhead,NE,RB,27,4,9,6.046325087,3.699026063,7.544871673,1.920549908,58,0.082059171,18,3.84584561,NA,51.1,5.5,5.160485191,NA,NA
100008,Cowboys,DAL,DST,NA,NA,6,6.026228571,5.68,6.637209302,0.456861149,23,0.148239286,18,0.957209302,NA,21.2,4,4.127712354,NA,NA
100011,Packers,GB,DST,NA,NA,8,6.005842857,3.1,7.456976744,2.042890134,24,0.284142857,19,4.356976744,NA,20.5,4,7.837326879,NA,NA
2555464,DeAndre Washington,OAK,RB,24,1,10,6.001848035,4.416253035,7.244,1.476066847,59,0.10209959,18,2.827746965,NA,55.4,4.5,4.296334164,NA,NA
2558019,Alvin Kamara,NO,RB,21,0,5,5.926683799,3.859026063,7.444073596,1.832279361,60,0.099391423,18,3.585047532,NA,57,6.9,6.370296627,NA,NA
2558150,ArDarius Stewart,NYJ,WR,NA,0,11,5.925548006,4.066834938,7.098513761,1.703952346,94,0.038947107,26,3.031678823,NA,82.6,8.1,6.284232882,NA,NA
2558066,Curtis Samuel,CAR,WR,21,0,11,5.894765963,-0.01,9.315618092,4.443147874,95,0.103045763,26,9.325618092,NA,78.4,6.8,9.249775553,NA,NA
2495453,Andre Holmes,BUF,WR,29,6,6,5.878435836,2.6,8.575722834,3.182500512,96,0.217244616,26,5.975722834,NA,91.3,8.9,8.31004938,NA,NA
2558204,Jamaal Williams,GB,RB,NA,0,8,5.872813089,2.876874883,7.006182026,1.939391518,61,0.20298925,18,4.129307143,NA,51.3,5.2,4.901239883,NA,NA
2540200,Dion Sims,CHI,TE,26,4,9,5.808480751,5.13,6.181141241,0.50921308,32,0.073378479,14,1.051141241,NA,35.2,3.1,4.188208467,NA,NA
2550512,Damien Williams,MIA,RB,25,3,11,5.781771662,5.019393091,6.550030581,0.847250393,62,0.234133516,18,1.53063749,NA,72.8,6.6,6.111051319,NA,NA
100012,Titans,TEN,DST,NA,NA,8,5.750135714,5.41,6.025,0.349005264,25,0.078860714,20,0.615,NA,24.8,4,3.875444733,NA,NA
2541316,Ryan Griffin,HOU,TE,27,4,7,5.741075119,4.48,6.907640059,1.450935532,33,0.017477708,14,2.427640059,NA,37.7,3.1,4.188208467,NA,NA
2552633,Jesse James,PIT,TE,23,2,9,5.729129424,3.76,6.886484688,1.524730792,34,0.038708618,14,3.126484688,NA,24.4,4.7,5.131613413,NA,NA
2533046,Dwayne Allen,NE,TE,27,5,9,5.718065398,1.974945571,8.107159122,2.971369584,35,0.129157272,14,6.132213551,NA,26.7,5.9,5.839167123,NA,NA
2532887,Jermaine Kearse,NYJ,WR,27,5,11,5.705004564,4.41,6.432805114,0.954914651,97,0.168689546,26,2.022805114,NA,90.7,10.3,5.995430952,NA,NA
100023,Giants,NYG,DST,NA,NA,8,5.693264286,5,5.770030581,0.397880992,26,0.132396429,21,0.770030581,NA,13.6,3.5,3.352583531,NA,NA
2552397,Clive Walford,OAK,TE,26,2,10,5.662776214,4.635786181,6.242154261,0.799736102,36,0.14971781,14,1.60636808,NA,41.8,6.6,6.251906787,NA,NA
100010,Lions,DET,DST,NA,NA,7,5.649285714,3.3,6.96744186,1.767673843,27,0.217175,22,3.66744186,NA,24.8,3.7,6.811307651,NA,NA
2540145,Cordarrelle Patterson,OAK,WR,26,4,10,5.617377877,3.65,6.894928741,1.647353059,98,0.239888352,26,3.244928741,NA,92.3,3.7,4.969834032,NA,NA
252,Chad Henne,JAC,QB,32,9,8,5.566719198,0,11.30814278,9.390915044,33,2.541402746,22,11.30814278,NA,NA,NA,15.03070019,NA,NA
2557994,DOnta Foreman,HOU,RB,21,0,7,5.557876016,4.639026063,6.508542484,1.19742762,63,0.110248781,18,1.869516421,NA,67.3,5.6,5.246900293,NA,NA
2555227,Jonathan Williams,FA,RB,23,1,NA,5.537400275,0.620082531,5.89784,2.963472195,64,0.182692928,19,5.277757469,NA,64.3,7,6.45671173,NA,NA
2534820,Garrett Celek,SF,TE,29,5,11,5.515040037,4.42,6.69440367,1.287607118,37,0.119795051,14,2.27440367,NA,37.3,7.4,6.723609261,NA,NA
2558266,George Kittle,SF,TE,24,0,11,5.51107677,1.98,7.761104517,3.418614779,38,0.309785051,14,5.781104517,NA,29.5,5.5,5.603315887,NA,NA
100022,Saints,NO,DST,NA,NA,5,5.47245,2.8,6.406395349,1.64757653,28,0.102417857,23,3.606395349,NA,28.4,1.9,4.236566551,NA,NA
2558105,Chris Godwin,TB,WR,21,0,11,5.45525216,1.31,8.64495507,4.960957406,99,0.19698941,26,7.33495507,NA,85.7,9.5,10.64423329,NA,NA
100005,Bears,CHI,DST,NA,NA,9,5.391771429,3.9,5.543404255,0.857647884,29,0.126046429,24,1.643404255,NA,29.8,3.4,4.300511549,NA,NA
2552379,Jeremy Langford,FA,RB,26,2,NA,5.357854195,1.279917469,6.069211009,2.80903926,65,0.029151606,19,4.78929354,NA,NA,NA,NA,NA,NA
